agent_id,first_name,last_name,market_id,buyer_customers_sent_2024,seller_customers_sent_2024,buyer_closes_2024,seller_closes_2024,customer_reviews_2024,avg_rating_2024
emily_walker_196,Emily,Walker,chicago_il,22,51,6,15,3,3.68
robert_lopez_576,Robert,Lopez,charlotte_nc,18,186,2,19,2,4.96
michael_robinson_545,Michael,Robinson,salt_lake_city_ut,69,140,7,44,10,3.16
imani_kim_217,Imani,Kim,virginia_beach_va,28,116,6,36,3,3.17
robert_brown_844,Robert,Brown,tampa_fl,170,93,18,17,4,3.58
asha_ramirez_805,Asha,Ramirez,miami_fl,54,278,8,38,8,2.26
mary_ramirez_279,Mary,Ramirez,indianapolis_in,215,48,29,9,7,3.79
zainab_abdullah_560,Zainab,Abdullah,providence_ri,26,114,5,39,6,3.37
robert_lewis_585,Robert,Lewis,grand_rapids_mi,161,202,27,40,12,3.34
aisha_smith_672,Aisha,Smith,chicago_il,84,195,9,32,6,2.66
dorothy_robinson_743,Dorothy,Robinson,san_francisco_ca,74,277,20,40,11,3.09
elizabeth_davis_895,Elizabeth,Davis,orlando_fl,83,218,13,24,6,4.78
haruka_khan_598,Haruka,Khan,dallas_tx,183,78,21,34,3,3.41
margaret_tran_693,Margaret,Tran,indianapolis_in,82,27,26,4,5,4.37
hiroshi_singh_927,Hiroshi,Singh,kansas_city_mo,179,143,29,31,9,2.21
mei_nguyen_346,Mei,Nguyen,salt_lake_city_ut,239,173,25,34,6,3.38
sarah_patel_398,Sarah,Patel,portland_or,236,150,27,25,3,4.53
jessica_mohamed_971,Jessica,Mohamed,baltimore_md,35,21,6,4,2,3.52
ana_mitchell_446,Ana,Mitchell,philadelphia_pa,23,18,4,8,2,2.18
hao_kim_684,Hao,Kim,seattle_wa,68,166,7,27,6,3.39
aya_jackson_584,Aya,Jackson,indianapolis_in,21,96,3,24,2,3.28
aisha_nelson_615,Aisha,Nelson,providence_ri,114,212,16,24,4,4.2
arjun_brown_10,Arjun,Brown,indianapolis_in,52,20,14,2,3,2.34
jennifer_gonzalez_132,Jennifer,Gonzalez,nashville_tn,33,194,4,28,1,4.13
christopher_harris_499,Christopher,Harris,kansas_city_mo,116,410,16,41,6,2.17
omar_nelson_812,Omar,Nelson,virginia_beach_va,61,71,17,15,5,4.96
hana_scott_274,Hana,Scott,grand_rapids_mi,14,97,2,17,3,3.63
sanjay_parker_479,Sanjay,Parker,milwaukee_wi,155,31,29,12,2,2.24
yuki_lewis_420,Yuki,Lewis,buffalo_ny,45,423,9,45,8,4.62
emily_khan_248,Emily,Khan,philadelphia_pa,27,51,4,21,4,2.77
ebony_mitchell_272,Ebony,Mitchell,salt_lake_city_ut,116,244,12,27,6,3.77
barbara_hernandez_388,Barbara,Hernandez,philadelphia_pa,166,188,21,35,6,2.7
tanya_white_55,Tanya,White,seattle_wa,126,54,29,7,2,4.54
amanda_hall_792,Amanda,Hall,new_york_ny,45,208,11,50,10,3.13
haruka_young_922,Haruka,Young,milwaukee_wi,146,102,20,27,1,2.54
ling_parker_768,Ling,Parker,denver_co,159,172,17,19,6,4.51
takeshi_baker_821,Takeshi,Baker,washington_dc,34,296,8,34,3,2.47
jason_garcia_337,Jason,Garcia,boston_ma,93,209,28,33,12,2.1
jessica_garcia_415,Jessica,Garcia,las_vegas_nv,56,209,17,39,6,4.61
john_green_291,John,Green,new_york_ny,78,38,8,4,1,2.21
emily_gonzalez_560,Emily,Gonzalez,houston_tx,194,384,24,47,11,4.48
tanya_king_399,Tanya,King,indianapolis_in,22,119,4,21,4,4.99
james_rodriguez_654,James,Rodriguez,buffalo_ny,83,100,21,38,2,4.58
patricia_patel_670,Patricia,Patel,chicago_il,66,90,11,10,1,2.77
haruka_smith_116,Haruka,Smith,jacksonville_fl,153,60,19,10,1,2.98
aisha_green_653,Aisha,Green,louisville_ky,100,48,10,8,2,4.16
jennifer_davis_291,Jennifer,Davis,atlanta_ga,79,28,13,6,2,4.32
charles_hall_109,Charles,Hall,nashville_tn,121,15,18,6,4,4.1
malik_thompson_463,Malik,Thompson,orlando_fl,33,415,6,48,5,3.68
christopher_jackson_876,Christopher,Jackson,miami_fl,99,12,20,2,1,4.35
ebony_gonzalez_320,Ebony,Gonzalez,st_louis_mo,77,222,14,23,2,3.47
jason_walker_396,Jason,Walker,indianapolis_in,189,39,21,4,4,3.52
tanya_harris_873,Tanya,Harris,virginia_beach_va,39,477,5,50,1,3.48
latoya_lewis_862,Latoya,Lewis,denver_co,288,405,29,48,6,3.6
david_williams_651,David,Williams,washington_dc,23,168,7,48,5,2.46
carlos_hill_509,Carlos,Hill,baltimore_md,117,163,18,28,5,3.74
omar_hassan_963,Omar,Hassan,virginia_beach_va,44,22,10,3,2,3.32
jin_carter_761,Jin,Carter,sacramento_ca,180,91,30,26,7,4.79
yuki_thompson_532,Yuki,Thompson,minneapolis_mn,72,349,19,50,3,4.45
maria_lewis_193,Maria,Lewis,pittsburgh_pa,84,187,26,36,6,4.75
john_jackson_315,John,Jackson,san_antonio_tx,93,192,11,34,2,3.73
hana_torres_930,Hana,Torres,memphis_tn,59,106,11,13,3,4.43
minh_mohamed_224,Minh,Mohamed,virginia_beach_va,105,255,30,30,12,4.27
takeshi_evans_952,Takeshi,Evans,san_francisco_ca,48,317,14,48,11,2.66
haruka_khan_777,Haruka,Khan,birmingham_al,46,429,7,44,7,4.41
joseph_evans_855,Joseph,Evans,phoenix_az,229,356,28,39,12,4.12
lakshmi_lewis_878,Lakshmi,Lewis,grand_rapids_mi,165,6,30,1,3,4.38
michael_lewis_39,Michael,Lewis,san_francisco_ca,144,75,21,18,7,4.95
camila_mitchell_463,Camila,Mitchell,dallas_tx,187,67,25,10,5,3.46
takeshi_evans_885,Takeshi,Evans,denver_co,96,264,22,27,3,4.64
luis_green_96,Luis,Green,richmond_va,178,316,26,49,8,2.6
yuki_gonzalez_576,Yuki,Gonzalez,milwaukee_wi,73,120,14,47,3,3.22
omar_mitchell_959,Omar,Mitchell,dallas_tx,172,145,24,21,4,4.96
zainab_torres_559,Zainab,Torres,salt_lake_city_ut,264,276,28,33,12,3.56
takeshi_torres_304,Takeshi,Torres,los_angeles_ca,195,215,28,22,1,4.91
daniel_ramirez_638,Daniel,Ramirez,pittsburgh_pa,53,411,11,44,6,2.12
mei_washington_208,Mei,Washington,st_louis_mo,293,64,30,7,7,2.07
michael_garcia_49,Michael,Garcia,jacksonville_fl,268,173,28,19,9,4.49
maria_singh_679,Maria,Singh,austin_tx,44,18,11,2,2,2.68
amanda_robinson_243,Amanda,Robinson,chicago_il,58,51,6,12,2,3.38
priya_young_89,Priya,Young,los_angeles_ca,135,141,24,21,6,2.65
miguel_smith_839,Miguel,Smith,portland_or,73,196,18,24,2,3.06
hiroshi_thompson_32,Hiroshi,Thompson,atlanta_ga,36,141,9,50,5,3.97
ahmad_williams_483,Ahmad,Williams,kansas_city_mo,55,7,13,2,2,2.49
jose_scott_754,Jose,Scott,dallas_tx,182,88,27,23,2,2.15
haruka_hall_87,Haruka,Hall,baltimore_md,142,211,21,23,1,5
charles_adams_753,Charles,Adams,phoenix_az,152,299,24,35,9,3.59
charles_parker_639,Charles,Parker,orlando_fl,11,133,3,15,3,4.1
camila_singh_380,Camila,Singh,las_vegas_nv,150,75,17,36,7,3.59
latoya_robinson_252,Latoya,Robinson,columbus_oh,119,149,18,32,4,2.26
arjun_ramirez_661,Arjun,Ramirez,richmond_va,110,11,20,2,3,4.58
susan_harris_46,Susan,Harris,memphis_tn,164,77,19,33,2,2.11
matthew_kim_102,Matthew,Kim,virginia_beach_va,120,262,13,37,4,4.23
jamal_thompson_459,Jamal,Thompson,kansas_city_mo,186,456,28,49,15,2.87
juan_singh_334,Juan,Singh,san_jose_ca,84,82,9,27,1,4.48
mei_tran_609,Mei,Tran,birmingham_al,88,335,24,44,11,3.51
fatima_robinson_544,Fatima,Robinson,baltimore_md,213,61,30,16,1,2.29
daniel_hernandez_792,Daniel,Hernandez,charlotte_nc,66,319,12,43,4,3.14
priya_mohamed_314,Priya,Mohamed,richmond_va,154,222,24,30,6,2.58
hiroshi_jackson_353,Hiroshi,Jackson,virginia_beach_va,91,252,30,31,1,4.55
minh_kim_554,Minh,Kim,tampa_fl,90,426,13,45,10,4.91
ana_white_139,Ana,White,birmingham_al,191,125,22,14,4,3.89
christopher_white_384,Christopher,White,pittsburgh_pa,105,140,11,38,5,2.05
anthony_ali_118,Anthony,Ali,seattle_wa,97,213,30,44,7,3.78
patricia_campbell_460,Patricia,Campbell,san_jose_ca,184,106,30,36,10,4.23
isabella_ali_502,Isabella,Ali,cleveland_oh,61,387,9,50,3,2.26
jason_white_970,Jason,White,tampa_fl,83,160,26,23,1,2.87
raj_jackson_503,Raj,Jackson,dallas_tx,31,150,9,25,4,3.36
michael_hall_387,Michael,Hall,portland_or,142,384,29,47,3,2.3
david_carter_683,David,Carter,sacramento_ca,142,133,21,21,5,2.38
emily_singh_612,Emily,Singh,san_diego_ca,63,12,16,5,3,3.56
carlos_garcia_516,Carlos,Garcia,las_vegas_nv,102,64,11,30,5,3.36
carlos_young_983,Carlos,Young,st_louis_mo,158,291,22,35,1,3.28
hao_patel_91,Hao,Patel,minneapolis_mn,134,47,27,12,3,3.22
priya_hall_354,Priya,Hall,richmond_va,6,290,1,39,1,3.31
aisha_lopez_898,Aisha,Lopez,austin_tx,87,90,13,31,7,3
matthew_hassan_173,Matthew,Hassan,riverside_ca,21,118,3,15,1,4.39
dorothy_adams_10,Dorothy,Adams,grand_rapids_mi,137,37,22,5,1,4.49
carlos_martinez_859,Carlos,Martinez,virginia_beach_va,79,75,21,33,4,2.57
mina_jackson_2,Mina,Jackson,raleigh_nc,41,292,11,30,8,2.03
malik_rodriguez_436,Malik,Rodriguez,detroit_mi,238,293,29,33,8,2.09
michael_garcia_22,Michael,Garcia,cleveland_oh,64,21,7,3,2,2.66
daniel_smith_15,Daniel,Smith,houston_tx,102,284,25,50,10,3.22
lakshmi_nelson_232,Lakshmi,Nelson,las_vegas_nv,274,414,28,42,9,2.31
luis_clark_414,Luis,Clark,buffalo_ny,168,231,28,34,1,3.69
daniel_harris_477,Daniel,Harris,milwaukee_wi,263,29,30,8,7,2.25
charles_jones_839,Charles,Jones,salt_lake_city_ut,105,98,12,41,9,3.22
keisha_ramirez_453,Keisha,Ramirez,charlotte_nc,152,96,18,27,8,2.04
aya_gonzalez_628,Aya,Gonzalez,denver_co,57,60,8,16,2,4.17
haruka_harris_789,Haruka,Harris,seattle_wa,23,283,3,34,1,3.03
kwame_jackson_477,Kwame,Jackson,seattle_wa,42,161,7,18,1,4.33
mei_smith_519,Mei,Smith,houston_tx,90,268,11,49,3,3.95
luis_hernandez_443,Luis,Hernandez,denver_co,134,265,20,27,4,2.46
charles_hassan_106,Charles,Hassan,memphis_tn,211,126,28,32,3,4.67
miguel_adams_229,Miguel,Adams,los_angeles_ca,135,181,22,34,11,2.59
joseph_green_30,Joseph,Green,buffalo_ny,221,67,29,14,3,4.03
susan_ali_437,Susan,Ali,raleigh_nc,67,40,18,4,2,4.1
matthew_ramirez_368,Matthew,Ramirez,los_angeles_ca,188,188,20,32,2,3.81
hiroshi_nelson_577,Hiroshi,Nelson,orlando_fl,138,89,15,36,8,2.4
amanda_clark_692,Amanda,Clark,memphis_tn,21,46,4,7,1,2.11
tanya_walker_782,Tanya,Walker,san_diego_ca,165,306,26,34,6,2.29
aisha_perez_62,Aisha,Perez,san_diego_ca,178,378,21,38,7,4.37
haruka_mitchell_361,Haruka,Mitchell,buffalo_ny,183,294,28,47,9,3.53
aisha_washington_223,Aisha,Washington,san_antonio_tx,239,222,27,47,2,3.73
mei_brown_300,Mei,Brown,portland_or,206,244,23,29,7,2.43
isabella_torres_56,Isabella,Torres,san_jose_ca,189,152,22,22,7,2.06
aya_hassan_395,Aya,Hassan,los_angeles_ca,107,251,28,30,5,2.02
ebony_scott_562,Ebony,Scott,cincinnati_oh,88,40,9,9,3,4.69
arjun_williams_395,Arjun,Williams,providence_ri,79,196,14,20,3,4.72
dorothy_lewis_717,Dorothy,Lewis,memphis_tn,54,271,11,39,5,2.48
mohammed_green_28,Mohammed,Green,riverside_ca,270,142,30,35,1,2.02
ashley_washington_238,Ashley,Washington,cleveland_oh,35,69,5,15,1,4.61
takeshi_green_155,Takeshi,Green,san_diego_ca,91,63,27,20,3,3.89
jason_allen_167,Jason,Allen,baltimore_md,32,309,9,45,8,3.43
kenji_nguyen_367,Kenji,Nguyen,sacramento_ca,261,61,28,8,3,3.29
john_rodriguez_178,John,Rodriguez,cleveland_oh,82,150,10,42,2,4.57
richard_perez_533,Richard,Perez,indianapolis_in,85,98,26,15,3,4.28
camila_kim_916,Camila,Kim,milwaukee_wi,95,34,11,12,3,4.94
fatima_thompson_146,Fatima,Thompson,tampa_fl,48,37,5,7,1,4.98
sanjay_smith_885,Sanjay,Smith,buffalo_ny,248,87,27,11,5,2.82
susan_rodriguez_670,Susan,Rodriguez,minneapolis_mn,31,186,7,23,4,3.07
hiroshi_torres_322,Hiroshi,Torres,orlando_fl,116,54,18,18,4,3.85
kenji_clark_504,Kenji,Clark,raleigh_nc,65,297,13,44,6,3.29
james_campbell_857,James,Campbell,los_angeles_ca,179,111,20,37,9,2.59
omar_mohamed_103,Omar,Mohamed,kansas_city_mo,39,271,12,43,8,4.23
elizabeth_kim_278,Elizabeth,Kim,sacramento_ca,45,68,8,15,2,3.02
aisha_abdullah_290,Aisha,Abdullah,phoenix_az,133,261,28,29,6,2.93
aisha_ramirez_396,Aisha,Ramirez,tampa_fl,187,24,21,3,3,3.28
david_ramirez_806,David,Ramirez,seattle_wa,199,15,28,2,4,4.87
tyrone_jones_289,Tyrone,Jones,louisville_ky,124,146,25,47,6,4.89
hana_nguyen_805,Hana,Nguyen,tampa_fl,56,119,8,12,1,4.67
juan_hill_434,Juan,Hill,san_jose_ca,119,379,26,42,9,4.76
yuki_johnson_764,Yuki,Johnson,orlando_fl,208,33,26,4,3,4.7
anthony_gonzalez_634,Anthony,Gonzalez,atlanta_ga,55,20,11,2,1,3.3
dorothy_gonzalez_346,Dorothy,Gonzalez,cincinnati_oh,84,175,21,33,2,3.1
christopher_smith_806,Christopher,Smith,orlando_fl,150,57,25,21,8,3.62
patricia_brown_50,Patricia,Brown,portland_or,43,78,5,12,2,4.04
mohammed_hall_608,Mohammed,Hall,miami_fl,156,200,19,29,2,3.12
elizabeth_thompson_272,Elizabeth,Thompson,st_louis_mo,19,81,4,22,2,3.66
hana_robinson_513,Hana,Robinson,san_antonio_tx,108,79,13,13,3,4.28
jessica_mitchell_182,Jessica,Mitchell,virginia_beach_va,267,412,28,45,12,4
jin_harris_955,Jin,Harris,new_york_ny,123,87,22,41,7,3.96
jamal_brown_791,Jamal,Brown,detroit_mi,75,260,22,31,10,3.86
charles_green_824,Charles,Green,phoenix_az,82,243,11,34,7,3.41
omar_tran_870,Omar,Tran,nashville_tn,22,32,5,13,3,2.9
aya_williams_464,Aya,Williams,cincinnati_oh,72,44,23,16,3,3.19
susan_gonzalez_144,Susan,Gonzalez,tampa_fl,96,418,15,46,2,2.46
dorothy_kim_754,Dorothy,Kim,boston_ma,100,284,21,36,2,4.75
david_khan_140,David,Khan,los_angeles_ca,266,47,27,12,5,3.58
tanya_tran_356,Tanya,Tran,jacksonville_fl,52,212,6,22,4,2.19
patricia_young_347,Patricia,Young,dallas_tx,69,91,22,35,11,2.4
hiroshi_perez_356,Hiroshi,Perez,san_jose_ca,37,303,9,50,4,3.92
nia_kim_214,Nia,Kim,miami_fl,216,42,22,7,2,4.99
latoya_scott_543,Latoya,Scott,san_francisco_ca,30,33,4,16,3,2.41
carlos_jones_225,Carlos,Jones,providence_ri,231,192,30,24,4,4.62
yuki_hassan_472,Yuki,Hassan,new_york_ny,105,280,17,32,1,3.66
minh_tran_447,Minh,Tran,san_antonio_tx,158,239,16,45,2,4.55
lucia_white_40,Lucia,White,cleveland_oh,223,87,25,10,1,3.41
charles_thompson_19,Charles,Thompson,phoenix_az,88,113,21,28,5,2.29
aya_nguyen_76,Aya,Nguyen,san_francisco_ca,35,302,4,37,7,3.16
sarah_scott_121,Sarah,Scott,pittsburgh_pa,78,61,19,19,1,2.01
yuki_scott_831,Yuki,Scott,memphis_tn,162,162,30,26,5,4.03
sofia_hall_448,Sofia,Hall,philadelphia_pa,83,470,18,49,4,4.03
jessica_parker_103,Jessica,Parker,detroit_mi,84,341,14,39,7,2.79
james_scott_826,James,Scott,los_angeles_ca,120,327,13,34,4,2.95
camila_nelson_261,Camila,Nelson,birmingham_al,276,298,30,31,9,4.04
darnell_evans_774,Darnell,Evans,miami_fl,39,160,8,34,8,3.16
sofia_baker_722,Sofia,Baker,oklahoma_city_ok,116,302,21,41,9,4.14
patricia_mitchell_756,Patricia,Mitchell,milwaukee_wi,187,406,24,42,10,4.8
jamal_williams_584,Jamal,Williams,washington_dc,88,130,18,40,7,2.52
michael_robinson_36,Michael,Robinson,riverside_ca,170,57,22,12,6,2.65
arjun_ramirez_306,Arjun,Ramirez,cleveland_oh,33,98,7,11,1,2.32
imani_allen_237,Imani,Allen,boston_ma,23,104,3,13,1,3.21
jamal_lewis_667,Jamal,Lewis,louisville_ky,190,380,19,47,10,4.56
ahmad_ramirez_355,Ahmad,Ramirez,salt_lake_city_ut,68,288,8,34,4,3.67
minh_lopez_13,Minh,Lopez,washington_dc,201,9,24,4,5,3.58
lakshmi_mohamed_440,Lakshmi,Mohamed,miami_fl,170,184,24,47,12,4.63
matthew_baker_942,Matthew,Baker,minneapolis_mn,193,51,30,8,4,2.54
barbara_mitchell_911,Barbara,Mitchell,las_vegas_nv,177,107,26,19,9,2.93
christopher_rodriguez_734,Christopher,Rodriguez,dallas_tx,263,78,30,34,5,4.75
charles_scott_320,Charles,Scott,sacramento_ca,76,230,17,42,11,4.28
linda_washington_623,Linda,Washington,salt_lake_city_ut,44,4,12,1,2,4.78
layla_campbell_987,Layla,Campbell,san_francisco_ca,136,287,17,34,9,4.61
priya_green_358,Priya,Green,detroit_mi,17,272,2,36,1,4.35
patricia_khan_487,Patricia,Khan,san_diego_ca,8,407,1,41,7,4.46
camila_williams_913,Camila,Williams,orlando_fl,122,39,18,13,4,4.42
lucia_williams_206,Lucia,Williams,buffalo_ny,221,65,26,24,7,2.65
mary_hill_779,Mary,Hill,st_louis_mo,77,214,17,42,1,4.76
lucia_allen_892,Lucia,Allen,cleveland_oh,8,343,1,40,6,3.61
luis_kim_341,Luis,Kim,baltimore_md,71,53,9,7,2,3.58
amanda_evans_989,Amanda,Evans,las_vegas_nv,75,116,10,15,4,2.61
charles_washington_756,Charles,Washington,grand_rapids_mi,71,138,20,34,10,2.5
jennifer_walker_916,Jennifer,Walker,cleveland_oh,97,44,13,6,1,4.88
darnell_johnson_691,Darnell,Johnson,indianapolis_in,144,112,24,18,4,4.25
wei_white_29,Wei,White,atlanta_ga,60,9,8,1,1,2.68
anthony_williams_805,Anthony,Williams,charlotte_nc,94,178,11,37,7,4.96
luis_hall_706,Luis,Hall,richmond_va,56,44,10,18,2,4.84
christopher_hall_944,Christopher,Hall,nashville_tn,122,106,19,28,8,4.74
nia_abdullah_532,Nia,Abdullah,indianapolis_in,10,357,2,41,4,2.01
anthony_ramirez_561,Anthony,Ramirez,chicago_il,149,26,26,7,4,2.76
barbara_carter_360,Barbara,Carter,dallas_tx,91,159,13,25,5,4.69
asha_nguyen_539,Asha,Nguyen,providence_ri,76,178,18,18,2,3.04
ana_jones_845,Ana,Jones,washington_dc,17,268,4,44,2,2.89
raj_hill_659,Raj,Hill,raleigh_nc,12,105,3,43,9,4.84
joseph_torres_894,Joseph,Torres,st_louis_mo,289,75,30,23,5,3.83
asha_hernandez_786,Asha,Hernandez,las_vegas_nv,143,153,27,21,8,4.32
ana_garcia_53,Ana,Garcia,oklahoma_city_ok,73,147,13,28,5,3.72
jose_garcia_8,Jose,Garcia,louisville_ky,97,188,26,38,9,2.58
emily_ali_726,Emily,Ali,dallas_tx,56,23,8,5,1,4.52
emily_ramirez_702,Emily,Ramirez,memphis_tn,89,99,9,34,7,2.54
elizabeth_hassan_112,Elizabeth,Hassan,indianapolis_in,90,312,9,48,8,4.01
hana_white_510,Hana,White,salt_lake_city_ut,49,55,8,9,2,4.37
lucia_smith_808,Lucia,Smith,birmingham_al,242,28,29,13,8,3.54
jose_abdullah_641,Jose,Abdullah,milwaukee_wi,169,410,27,43,14,2.02
barbara_hall_80,Barbara,Hall,cincinnati_oh,118,111,13,42,8,3.11
jessica_davis_673,Jessica,Davis,dallas_tx,274,54,30,15,7,3.29
mei_thompson_435,Mei,Thompson,milwaukee_wi,88,50,18,24,4,2.94
barbara_smith_82,Barbara,Smith,birmingham_al,99,99,15,13,4,4.47
ali_walker_49,Ali,Walker,philadelphia_pa,48,126,6,42,9,4.42
matthew_walker_279,Matthew,Walker,san_francisco_ca,40,55,9,14,1,4.33
nia_harris_171,Nia,Harris,pittsburgh_pa,141,88,15,31,2,3.75
haruka_mohamed_606,Haruka,Mohamed,houston_tx,79,185,24,24,1,4.28
jessica_parker_473,Jessica,Parker,philadelphia_pa,108,204,11,27,4,2.48
hao_baker_264,Hao,Baker,washington_dc,149,165,22,32,1,2.05
amanda_baker_305,Amanda,Baker,sacramento_ca,182,353,19,41,7,4.86
takeshi_ali_642,Takeshi,Ali,cincinnati_oh,211,102,22,16,4,4.46
jennifer_lewis_656,Jennifer,Lewis,chicago_il,70,201,14,48,5,2.08
isabella_hill_209,Isabella,Hill,grand_rapids_mi,8,79,1,35,7,4.09
ashley_williams_762,Ashley,Williams,tampa_fl,274,27,28,5,6,2.69
nia_thompson_808,Nia,Thompson,atlanta_ga,12,300,3,33,7,2.97
jamal_ali_328,Jamal,Ali,milwaukee_wi,21,255,3,27,1,2.36
jennifer_jackson_416,Jennifer,Jackson,detroit_mi,121,221,16,24,7,3.4
tanya_walker_380,Tanya,Walker,sacramento_ca,96,95,13,17,4,3.18
mohammed_khan_756,Mohammed,Khan,houston_tx,67,126,9,23,6,2
mohammed_hernandez_381,Mohammed,Hernandez,san_diego_ca,132,103,26,18,6,4.07
ali_thompson_359,Ali,Thompson,nashville_tn,26,230,3,25,5,4.52
jessica_jackson_52,Jessica,Jackson,san_diego_ca,12,193,3,36,4,3.09
mary_abdullah_270,Mary,Abdullah,virginia_beach_va,134,235,14,26,7,4.31
susan_hall_54,Susan,Hall,san_diego_ca,43,72,7,25,3,2.84
joseph_walker_394,Joseph,Walker,san_antonio_tx,69,12,22,5,3,2.75
linda_tran_301,Linda,Tran,dallas_tx,164,135,23,21,6,3.22
hao_smith_990,Hao,Smith,buffalo_ny,25,296,3,40,1,3.98
james_ramirez_50,James,Ramirez,columbus_oh,141,167,17,31,5,4.34
ebony_nelson_55,Ebony,Nelson,san_francisco_ca,184,50,26,10,1,3.15
sarah_perez_492,Sarah,Perez,san_antonio_tx,65,377,13,38,3,4.16
patricia_jackson_538,Patricia,Jackson,fresno_ca,134,29,15,4,2,2.99
lakshmi_mitchell_377,Lakshmi,Mitchell,miami_fl,120,130,27,25,7,4.67
arjun_williams_858,Arjun,Williams,boston_ma,16,347,2,50,9,3.09
aisha_white_2,Aisha,White,cleveland_oh,113,71,17,27,5,3.96
hao_jones_32,Hao,Jones,miami_fl,40,77,11,8,3,2.71
imani_mohamed_940,Imani,Mohamed,washington_dc,220,206,22,50,4,2.82
dorothy_mohamed_578,Dorothy,Mohamed,milwaukee_wi,10,161,1,21,4,2.87
james_jackson_395,James,Jackson,buffalo_ny,94,227,16,30,4,3.59
ana_smith_902,Ana,Smith,virginia_beach_va,166,129,24,15,7,4.68
jennifer_parker_273,Jennifer,Parker,detroit_mi,34,386,4,40,3,3.84
